"Step","Job Type: RDE+DQN_2agents_4_50_625_True - return","Job Type: RDE+DQN_2agents_4_50_625_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_625_True - return__MAX","Job Type: RDE+DQN_2agents_4_50_1250_True - return","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_2500_True - return","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_5000_True - return","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MAX","Job Type: SR+DQN_1agents_4_50_1250_True - return","Job Type: SR+DQN_1agents_4_50_1250_True - return__MIN","Job Type: SR+DQN_1agents_4_50_1250_True - return__MAX","Job Type: PS+DQN_2agents_4_50_625_True - return","Job Type: PS+DQN_2agents_4_50_625_True - return__MIN","Job Type: PS+DQN_2agents_4_50_625_True - return__MAX","Job Type: SR+DQN_1agents_1_50_5000_True - return","Job Type: SR+DQN_1agents_1_50_5000_True - return__MIN","Job Type: SR+DQN_1agents_1_50_5000_True - return__MAX","Job Type: PS+DQN_2agents_1_50_2500_True - return","Job Type: PS+DQN_2agents_1_50_2500_True - return__MIN","Job Type: PS+DQN_2agents_1_50_2500_True - return__MAX","Job Type: SR+DQN_1agents_4_50_2500_True - return","Job Type: SR+DQN_1agents_4_50_2500_True - return__MIN","Job Type: SR+DQN_1agents_4_50_2500_True - return__MAX","Job Type: PS+DQN_2agents_4_50_1250_True - return","Job Type: PS+DQN_2agents_4_50_1250_True - return__MIN","Job Type: PS+DQN_2agents_4_50_1250_True - return__MAX","Job Type: SR+DQN_1agents_1_50_10000_True - return","Job Type: SR+DQN_1agents_1_50_10000_True - return__MIN","Job Type: SR+DQN_1agents_1_50_10000_True - return__MAX"
"125000","143.57142857142858","105","184","168.4","99","314","193.9","116","334","168.22222222222223","115","254","","","","","","","","","","","","","","","","","","","","",""
"130000","166.14285714285714","134","222","298.7","204","486","169.77777777777777","84","317","127.33333333333333","84","188","","","","","","","","","","","","","","","","","","","","",""
"135000","186","135","236","201.6","110","393","144.125","88","214","136.55555555555554","64","177","","","","","","","","","","","","","","","","","","","","",""
"140000","183.14285714285714","120","315","324.1","130","898","153.57142857142858","110","260","183.22222222222223","139","257","","","","","","","","","","","","","","","","","","","","",""
"145000","152.42857142857142","102","198","177.9","128","239","161.57142857142858","86","237","170.88888888888889","112","336","","","","","","","","","","","","","","","","","","","","",""
"150000","168.42857142857142","131","205","262.6","160","408","187.57142857142858","111","354","173","133","265","","","","","","","","","","","","","","","","","","","","",""
"155000","176.71428571428572","106","281","191.9","126","348","194.28571428571428","110","344","160.75","86","268","","","","","","","","","","","","","","","","","","","","",""
"160000","159","92","203","377.1","206","644","180","98","284","197.375","120","366","","","","","","","","","","","","","","","","","","","","",""
"165000","172.42857142857142","86","293","284.2","131","541","208.16666666666666","129","420","149.5","96","239","","","","","","","","","","","","","","","","","","","","",""
"170000","147.71428571428572","70","270","302.1","143","559","147","105","196","164.25","115","213","","","","","","","","","","","","","","","","","","","","",""
"175000","158.28571428571428","104","227","279.5","164","635","185.16666666666666","106","327","177.625","124","271","","","","","","","","","","","","","","","","","","","","",""
"180000","154.28571428571428","133","221","363.3","156","681","155.5","98","215","157","90","210","","","","","","","","","","","","","","","","","","","","",""
"185000","168.28571428571428","96","245","273.3","110","538","164.83333333333334","62","284","175","119","241","","","","","","","","","","","","","","","","","","","","",""
"190000","149","84","211","420","250","694","175","78","260","148.375","92","202","","","","","","","","","","","","","","","","","","","","",""
"195000","130.33333333333334","92","188","280.8","157","594","128.66666666666666","78","258","149","70","220","","","","","","","","","","","","","","","","","","","","",""
"200000","179","135","233","507.7","266","701","156","108","277","180.125","110","347","","","","","","","","","","","","","","","","","","","","",""
