"Step","Job Type: RDE+DQN_2agents_4_50_625_True - return","Job Type: RDE+DQN_2agents_4_50_625_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_625_True - return__MAX","Job Type: RDE+DQN_2agents_4_50_1250_True - return","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_2500_True - return","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_5000_True - return","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MAX","Job Type: SR+DQN_1agents_4_50_1250_True - return","Job Type: SR+DQN_1agents_4_50_1250_True - return__MIN","Job Type: SR+DQN_1agents_4_50_1250_True - return__MAX","Job Type: PS+DQN_2agents_4_50_625_True - return","Job Type: PS+DQN_2agents_4_50_625_True - return__MIN","Job Type: PS+DQN_2agents_4_50_625_True - return__MAX","Job Type: SR+DQN_1agents_1_50_5000_True - return","Job Type: SR+DQN_1agents_1_50_5000_True - return__MIN","Job Type: SR+DQN_1agents_1_50_5000_True - return__MAX","Job Type: PS+DQN_2agents_1_50_2500_True - return","Job Type: PS+DQN_2agents_1_50_2500_True - return__MIN","Job Type: PS+DQN_2agents_1_50_2500_True - return__MAX","Job Type: SR+DQN_1agents_4_50_2500_True - return","Job Type: SR+DQN_1agents_4_50_2500_True - return__MIN","Job Type: SR+DQN_1agents_4_50_2500_True - return__MAX","Job Type: PS+DQN_2agents_4_50_1250_True - return","Job Type: PS+DQN_2agents_4_50_1250_True - return__MIN","Job Type: PS+DQN_2agents_4_50_1250_True - return__MAX"
"135000","52144","25620","93620","43334","16000","66220","30230","16260","64540","31730","14860","48100","","","","","","","","","","","","","","","","","",""
"140000","56268","41100","77900","38416","18620","71760","22415","7160","32100","35148","10800","64100","","","","","","","","","","","","","","","","","",""
"145000","51642","10880","97880","49032","12440","68680","35700","24880","54160","36884","14540","56520","","","","","","","","","","","","","","","","","",""
"150000","48752","31380","77000","42892","15880","64060","39362.857142857145","28320","52340","32834","4600","71600","","","","","","","","","","","","","","","","","",""
"155000","50260","30840","72500","59680","25740","78740","30982.85714285714","14720","45840","33920","9700","64240","","","","","","","","","","","","","","","","","",""
"160000","50054","24220","66940","34632","15960","64640","26742.85714285714","5840","59000","28046","6320","44260","","","","","","","","","","","","","","","","","",""
"165000","45258","16000","93380","55196","16000","76860","34014.28571428572","6920","55460","43332","16240","57920","","","","","","","","","","","","","","","","","",""
"170000","44860","20040","77720","42704","13460","69220","33525.71428571428","15800","59260","23918","13280","47680","","","","","","","","","","","","","","","","","",""
"175000","52350","16000","72240","64608","27180","89980","28640","7300","53580","36886","20020","49700","","","","","","","","","","","","","","","","","",""
"180000","62042","21380","92920","34158","21180","57360","38534.28571428572","9780","70100","31564","14280","45760","","","","","","","","","","","","","","","","","",""
"185000","50532","9840","82220","60232","31260","72520","35285.71428571428","16520","58600","40234","20980","59880","","","","","","","","","","","","","","","","","",""
"190000","45334","21180","77760","42062","19380","75600","39722.857142857145","13520","75340","35894","13380","57600","","","","","","","","","","","","","","","","","",""
"195000","41238","13940","69840","52650","21460","79700","41374.28571428572","22820","58320","35846","15240","64120","","","","","","","","","","","","","","","","","",""
"200000","45992","18340","76480","44474","13420","88520","38157.142857142855","15700","52500","28900","12300","65060","","","","","","","","","","","","","","","","","",""
