"Step","Job Type: RDE+DQN_2agents_4_50_625_True - return","Job Type: RDE+DQN_2agents_4_50_625_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_625_True - return__MAX","Job Type: RDE+DQN_2agents_4_50_1250_True - return","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_2500_True - return","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_5000_True - return","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MAX","Job Type: SR+DQN_1agents_4_50_1250_True - return","Job Type: SR+DQN_1agents_4_50_1250_True - return__MIN","Job Type: SR+DQN_1agents_4_50_1250_True - return__MAX","Job Type: PS+DQN_2agents_4_50_625_True - return","Job Type: PS+DQN_2agents_4_50_625_True - return__MIN","Job Type: PS+DQN_2agents_4_50_625_True - return__MAX","Job Type: SR+DQN_1agents_1_50_5000_True - return","Job Type: SR+DQN_1agents_1_50_5000_True - return__MIN","Job Type: SR+DQN_1agents_1_50_5000_True - return__MAX","Job Type: PS+DQN_2agents_1_50_2500_True - return","Job Type: PS+DQN_2agents_1_50_2500_True - return__MIN","Job Type: PS+DQN_2agents_1_50_2500_True - return__MAX","Job Type: SR+DQN_1agents_4_50_2500_True - return","Job Type: SR+DQN_1agents_4_50_2500_True - return__MIN","Job Type: SR+DQN_1agents_4_50_2500_True - return__MAX","Job Type: PS+DQN_2agents_4_50_1250_True - return","Job Type: PS+DQN_2agents_4_50_1250_True - return__MIN","Job Type: PS+DQN_2agents_4_50_1250_True - return__MAX","Job Type: SR+DQN_1agents_1_50_10000_True - return","Job Type: SR+DQN_1agents_1_50_10000_True - return__MIN","Job Type: SR+DQN_1agents_1_50_10000_True - return__MAX"
"110000","224","214","234","235.55555555555554","226","248","126.88888888888889","48","188","322.3333333333333","98","1066","","","","","","","","","","","","","","","","","","","","",""
"115000","223.5","212","230","336","222","996","125.77777777777777","90","164","153.66666666666666","100","178","","","","","","","","","","","","","","","","","","","","",""
"120000","229","220","240","265.77777777777777","216","496","184.44444444444446","80","546","181.33333333333334","150","204","","","","","","","","","","","","","","","","","","","","",""
"125000","226.5","210","238","311.3333333333333","216","874","131.33333333333334","72","190","181.33333333333334","164","214","","","","","","","","","","","","","","","","","","","","",""
"130000","226","216","236","236.88888888888889","222","252","142.22222222222223","68","194","180","120","204","","","","","","","","","","","","","","","","","","","","",""
"135000","223.5","214","234","280.8888888888889","224","652","150.66666666666666","106","198","159","56","204","","","","","","","","","","","","","","","","","","","","",""
"140000","227","222","234","234","228","248","122.66666666666667","52","158","196.66666666666666","170","222","","","","","","","","","","","","","","","","","","","","",""
"145000","225.5","218","230","261.55555555555554","224","490","154.88888888888889","102","236","169.66666666666666","136","198","","","","","","","","","","","","","","","","","","","","",""
"150000","227.5","210","240","242.22222222222223","220","260","170","114","214","194.33333333333334","156","220","","","","","","","","","","","","","","","","","","","","",""
"155000","231.5","224","236","234","222","242","159.25","130","196","176.33333333333334","130","200","","","","","","","","","","","","","","","","","","","","",""
"160000","228","212","244","235.11111111111111","206","252","170","98","200","194.66666666666666","176","218","","","","","","","","","","","","","","","","","","","","",""
"165000","231.5","228","240","233.55555555555554","214","260","169.14285714285714","146","190","181.66666666666666","136","200","","","","","","","","","","","","","","","","","","","","",""
"170000","263.5","216","360","240.88888888888889","226","262","152.33333333333334","94","188","180.33333333333334","126","208","","","","","","","","","","","","","","","","","","","","",""
"175000","225","216","234","240.22222222222223","226","256","156.33333333333334","74","204","197","182","212","","","","","","","","","","","","","","","","","","","","",""
"180000","255.5","208","374","280.22222222222223","232","534","133","66","176","265","152","628","","","","","","","","","","","","","","","","","","","","",""
"185000","223.5","206","246","247.11111111111111","212","362","126.66666666666667","80","200","199.66666666666666","168","218","","","","","","","","","","","","","","","","","","","","",""
"190000","228.5","214","244","260.8888888888889","226","422","258.6666666666667","148","668","204.66666666666666","106","312","","","","","","","","","","","","","","","","","","","","",""
"195000","221","206","236","272.6666666666667","218","582","194.66666666666666","138","276","192.66666666666666","168","222","","","","","","","","","","","","","","","","","","","","",""
"200000","230.5","224","238","238.22222222222223","218","254","174.33333333333334","152","206","253","134","498","","","","","","","","","","","","","","","","","","","","",""
