"Step","Job Type: RDE+DQN_2agents_4_50_625_True - return","Job Type: RDE+DQN_2agents_4_50_625_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_625_True - return__MAX","Job Type: RDE+DQN_2agents_4_50_1250_True - return","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_2500_True - return","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_5000_True - return","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MAX","Job Type: SR+DQN_1agents_4_50_1250_True - return","Job Type: SR+DQN_1agents_4_50_1250_True - return__MIN","Job Type: SR+DQN_1agents_4_50_1250_True - return__MAX","Job Type: PS+DQN_2agents_4_50_625_True - return","Job Type: PS+DQN_2agents_4_50_625_True - return__MIN","Job Type: PS+DQN_2agents_4_50_625_True - return__MAX","Job Type: SR+DQN_1agents_1_50_5000_True - return","Job Type: SR+DQN_1agents_1_50_5000_True - return__MIN","Job Type: SR+DQN_1agents_1_50_5000_True - return__MAX","Job Type: PS+DQN_2agents_1_50_2500_True - return","Job Type: PS+DQN_2agents_1_50_2500_True - return__MIN","Job Type: PS+DQN_2agents_1_50_2500_True - return__MAX","Job Type: SR+DQN_1agents_4_50_2500_True - return","Job Type: SR+DQN_1agents_4_50_2500_True - return__MIN","Job Type: SR+DQN_1agents_4_50_2500_True - return__MAX","Job Type: PS+DQN_2agents_4_50_1250_True - return","Job Type: PS+DQN_2agents_4_50_1250_True - return__MIN","Job Type: PS+DQN_2agents_4_50_1250_True - return__MAX","Job Type: SR+DQN_1agents_1_50_10000_True - return","Job Type: SR+DQN_1agents_1_50_10000_True - return__MIN","Job Type: SR+DQN_1agents_1_50_10000_True - return__MAX"
"110000","743.3333333333334","380","1020","1916.6666666666667","980","3040","486.6666666666667","0","1360","1325","400","2360","","","","","","","","","","","","","","","","","","","","",""
"115000","830","300","1420","1410","980","2480","480","0","1360","1737.142857142857","300","4120","","","","","","","","","","","","","","","","","","","","",""
"120000","703.3333333333334","60","2460","1896.6666666666667","920","2660","656.6666666666666","60","1920","991.4285714285714","280","2460","","","","","","","","","","","","","","","","","","","","",""
"125000","1013.3333333333334","320","2760","1380","500","2100","533.3333333333334","0","2140","1305.7142857142858","220","4160","","","","","","","","","","","","","","","","","","","","",""
"130000","1136.6666666666667","320","2140","2340","720","3960","463.3333333333333","0","1300","1368.5714285714287","480","2760","","","","","","","","","","","","","","","","","","","","",""
"135000","610","120","1220","2463.3333333333335","1240","4180","463.3333333333333","220","820","1262.857142857143","480","2460","","","","","","","","","","","","","","","","","","","","",""
"140000","1290","160","2700","2850","1840","3900","540","20","1140","1200","480","2900","","","","","","","","","","","","","","","","","","","","",""
"145000","1106.6666666666667","180","2260","2310","980","3260","336.6666666666667","0","760","705.7142857142857","360","1800","","","","","","","","","","","","","","","","","","","","",""
"150000","1000","400","1680","3236.6666666666665","1600","5060","316.6666666666667","0","1200","1468.5714285714287","400","2500","","","","","","","","","","","","","","","","","","","","",""
"155000","1390","820","1780","2023.3333333333333","400","3220","196","0","460","1617.142857142857","900","3320","","","","","","","","","","","","","","","","","","","","",""
"160000","1463.3333333333333","500","3880","3200","1400","6240","1156","40","3300","1877.142857142857","440","2980","","","","","","","","","","","","","","","","","","","","",""
"165000","1076.6666666666667","540","2000","2756.6666666666665","1380","5660","532","120","1640","940","80","1780","","","","","","","","","","","","","","","","","","","","",""
"170000","1880","780","3020","4226.666666666667","1660","5880","984","0","2660","2317.1428571428573","940","2840","","","","","","","","","","","","","","","","","","","","",""
"175000","1210","520","2100","3503.3333333333335","1580","7360","552","0","1680","1517.142857142857","740","2440","","","","","","","","","","","","","","","","","","","","",""
"180000","1950","760","3740","4853.333333333333","2480","9060","796","20","1940","2460","1520","4620","","","","","","","","","","","","","","","","","","","","",""
"185000","1424","260","2820","4100","2440","7200","608","0","2500","977.1428571428571","0","2180","","","","","","","","","","","","","","","","","","","","",""
"190000","2008","680","4280","4406.666666666667","1300","6940","232","60","640","2225.714285714286","740","4120","","","","","","","","","","","","","","","","","","","","",""
"195000","2716","440","6340","4846.666666666667","920","10380","332","0","800","1654.2857142857142","300","2700","","","","","","","","","","","","","","","","","","","","",""
"200000","2370","480","3340","5190","2740","6600","312","20","780","1942.857142857143","660","3220","","","","","","","","","","","","","","","","","","","","",""
