"Step","Job Type: RDE+DQN_2agents_4_50_625_True - return","Job Type: RDE+DQN_2agents_4_50_625_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_625_True - return__MAX","Job Type: RDE+DQN_2agents_4_50_1250_True - return","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_2500_True - return","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_5000_True - return","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MAX","Job Type: SR+DQN_1agents_4_50_1250_True - return","Job Type: SR+DQN_1agents_4_50_1250_True - return__MIN","Job Type: SR+DQN_1agents_4_50_1250_True - return__MAX","Job Type: PS+DQN_2agents_4_50_625_True - return","Job Type: PS+DQN_2agents_4_50_625_True - return__MIN","Job Type: PS+DQN_2agents_4_50_625_True - return__MAX","Job Type: SR+DQN_1agents_1_50_5000_True - return","Job Type: SR+DQN_1agents_1_50_5000_True - return__MIN","Job Type: SR+DQN_1agents_1_50_5000_True - return__MAX","Job Type: PS+DQN_2agents_1_50_2500_True - return","Job Type: PS+DQN_2agents_1_50_2500_True - return__MIN","Job Type: PS+DQN_2agents_1_50_2500_True - return__MAX","Job Type: SR+DQN_1agents_4_50_2500_True - return","Job Type: SR+DQN_1agents_4_50_2500_True - return__MIN","Job Type: SR+DQN_1agents_4_50_2500_True - return__MAX","Job Type: PS+DQN_2agents_4_50_1250_True - return","Job Type: PS+DQN_2agents_4_50_1250_True - return__MIN","Job Type: PS+DQN_2agents_4_50_1250_True - return__MAX"
"130000","595","315","1190","795.8333333333334","480","1335","471.42857142857144","270","640","350.55555555555554","270","460","","","","","","","","","","","","","","","","","",""
"135000","564.375","400","1040","807.5","485","1340","341.42857142857144","205","490","346.1111111111111","290","435","","","","","","","","","","","","","","","","","",""
"140000","517.5","400","635","1174.1666666666667","560","1855","355","255","465","393.8888888888889","250","500","","","","","","","","","","","","","","","","","",""
"145000","645.625","395","1215","1361.6666666666667","460","2725","393.3333333333333","300","535","372.22222222222223","225","585","","","","","","","","","","","","","","","","","",""
"150000","776.25","410","1970","1024.1666666666667","505","1755","352.5","200","750","400.55555555555554","240","530","","","","","","","","","","","","","","","","","",""
"155000","541.875","325","1195","933.3333333333334","445","1860","362.5","275","495","419.44444444444446","320","625","","","","","","","","","","","","","","","","","",""
"160000","736.875","335","1315","960.8333333333334","435","1895","320","225","395","419.44444444444446","300","640","","","","","","","","","","","","","","","","","",""
"165000","478.125","365","580","1001.6666666666666","445","1900","321.6666666666667","210","395","392.77777777777777","300","575","","","","","","","","","","","","","","","","","",""
"170000","1008.125","345","1760","864.1666666666666","595","1385","310.8333333333333","245","395","505.625","345","1030","","","","","","","","","","","","","","","","","",""
"175000","733.125","410","1180","1559.1666666666667","765","2570","302.5","175","395","509.375","340","1155","","","","","","","","","","","","","","","","","",""
"180000","649.375","440","1245","831.6666666666666","495","1460","356","265","465","420.625","315","615","","","","","","","","","","","","","","","","","",""
"185000","703.75","500","1215","1074.1666666666667","480","2085","337","255","420","511.875","345","1145","","","","","","","","","","","","","","","","","",""
"190000","841.25","465","1720","1202.5","590","2170","361","260","505","426.25","335","565","","","","","","","","","","","","","","","","","",""
"195000","923.5714285714286","450","2540","1224.1666666666667","495","1880","367.5","265","485","400.625","290","545","","","","","","","","","","","","","","","","","",""
"200000","1121.4285714285713","470","1915","1173.3333333333333","565","1970","378.75","310","485","511.875","360","1170","","","","","","","","","","","","","","","","","",""
