"Step","Job Type: RDE+DQN_2agents_4_50_625_True - return","Job Type: RDE+DQN_2agents_4_50_625_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_625_True - return__MAX","Job Type: RDE+DQN_2agents_4_50_1250_True - return","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_2500_True - return","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_5000_True - return","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MAX","Job Type: SR+DQN_1agents_4_50_1250_True - return","Job Type: SR+DQN_1agents_4_50_1250_True - return__MIN","Job Type: SR+DQN_1agents_4_50_1250_True - return__MAX","Job Type: PS+DQN_2agents_4_50_625_True - return","Job Type: PS+DQN_2agents_4_50_625_True - return__MIN","Job Type: PS+DQN_2agents_4_50_625_True - return__MAX","Job Type: SR+DQN_1agents_1_50_5000_True - return","Job Type: SR+DQN_1agents_1_50_5000_True - return__MIN","Job Type: SR+DQN_1agents_1_50_5000_True - return__MAX","Job Type: PS+DQN_2agents_1_50_2500_True - return","Job Type: PS+DQN_2agents_1_50_2500_True - return__MIN","Job Type: PS+DQN_2agents_1_50_2500_True - return__MAX","Job Type: SR+DQN_1agents_4_50_2500_True - return","Job Type: SR+DQN_1agents_4_50_2500_True - return__MIN","Job Type: SR+DQN_1agents_4_50_2500_True - return__MAX","Job Type: PS+DQN_2agents_4_50_1250_True - return","Job Type: PS+DQN_2agents_4_50_1250_True - return__MIN","Job Type: PS+DQN_2agents_4_50_1250_True - return__MAX"
"130000","6515.555555555556","3160","11500","8205.714285714286","4100","12640","5375.555555555556","2200","13440","5348","2240","11040","","","","","","","","","","","","","","","","","",""
"135000","6626.666666666667","4280","9520","6465.714285714285","3480","11300","4251.111111111111","1280","8860","4516","2140","6740","","","","","","","","","","","","","","","","","",""
"140000","6653.333333333333","4180","10460","7062.857142857143","4080","10800","4246.666666666667","1580","9780","4596","2240","8400","","","","","","","","","","","","","","","","","",""
"145000","7768.888888888889","3880","12780","6800","3540","12540","5706.666666666667","2320","11060","4774","2980","6460","","","","","","","","","","","","","","","","","",""
"150000","7288.888888888889","3600","10940","7311.428571428572","5680","9220","6351.111111111111","1820","15260","4960","2760","8560","","","","","","","","","","","","","","","","","",""
"155000","6986.666666666667","4580","10180","8302.857142857143","3900","11760","4851.111111111111","2380","7540","4280","2640","6940","","","","","","","","","","","","","","","","","",""
"160000","7815.555555555556","4700","12320","7054.285714285715","4020","9380","7326.666666666667","3600","13140","6334","3240","12520","","","","","","","","","","","","","","","","","",""
"165000","8728.888888888889","4120","12420","6117.142857142857","4720","8280","5326.666666666667","1260","9640","4758","2600","6960","","","","","","","","","","","","","","","","","",""
"170000","7068.888888888889","6020","9420","8420","3980","12760","5055.555555555556","2820","7600","5148","1640","11420","","","","","","","","","","","","","","","","","",""
"175000","7408.888888888889","3260","12280","7774.285714285715","5840","9760","4731.111111111111","2360","7680","5112","1380","8180","","","","","","","","","","","","","","","","","",""
"180000","6322.222222222223","3840","10040","7302.857142857143","3180","10460","5875.555555555556","2800","11840","6368","2440","11680","","","","","","","","","","","","","","","","","",""
"185000","8177.777777777777","5760","12320","6282.857142857143","3000","7980","4435.555555555556","1740","7920","5410","2240","8540","","","","","","","","","","","","","","","","","",""
"190000","6886.666666666667","4480","10380","7394.285714285715","5540","9500","5600","1620","9980","5952","3480","9580","","","","","","","","","","","","","","","","","",""
"195000","8302.5","3400","12520","7028.571428571428","5300","9300","6697.777777777777","3260","14360","5113.333333333333","2660","8820","","","","","","","","","","","","","","","","","",""
"200000","7095","5960","8480","9791.42857142857","7220","13700","6311.111111111111","3000","12220","5462.222222222223","3280","7520","","","","","","","","","","","","","","","","","",""
