"Step","Job Type: RDE+DQN_2agents_4_50_625_True - return","Job Type: RDE+DQN_2agents_4_50_625_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_625_True - return__MAX","Job Type: RDE+DQN_2agents_4_50_1250_True - return","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_2500_True - return","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_5000_True - return","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MAX","Job Type: PS+DQN_2agents_1_50_2500_True - return","Job Type: PS+DQN_2agents_1_50_2500_True - return__MIN","Job Type: PS+DQN_2agents_1_50_2500_True - return__MAX","Job Type: PS+DQN_2agents_4_50_625_True - return","Job Type: PS+DQN_2agents_4_50_625_True - return__MIN","Job Type: PS+DQN_2agents_4_50_625_True - return__MAX","Job Type: PS+DQN_2agents_4_50_1250_True - return","Job Type: PS+DQN_2agents_4_50_1250_True - return__MIN","Job Type: PS+DQN_2agents_4_50_1250_True - return__MAX","Job Type: SR+DQN_1agents_4_50_2500_True - return","Job Type: SR+DQN_1agents_4_50_2500_True - return__MIN","Job Type: SR+DQN_1agents_4_50_2500_True - return__MAX","Job Type: SR+DQN_1agents_4_50_1250_True - return","Job Type: SR+DQN_1agents_4_50_1250_True - return__MIN","Job Type: SR+DQN_1agents_4_50_1250_True - return__MAX","Job Type: SR+DQN_1agents_1_50_5000_True - return","Job Type: SR+DQN_1agents_1_50_5000_True - return__MIN","Job Type: SR+DQN_1agents_1_50_5000_True - return__MAX"
"75000","3.6","-1.4","10.4","1.9","-1","7.4","-5.639999999999999","-12","0","-5.959999999999999","-10.2","-1.4","-7.540000000000001","-17.2","2.6","3.04","-2.4","12.8","1.9599999999999997","-8.8","8.6","1.5400000000000003","-6.2","11.8","1.28","-2.8","6.8","-8.940000000000001","-19.8","1.2"
"80000","2.5799999999999996","-2","12.8","5.959999999999999","1","14.4","-7.140000000000001","-12.6","-1.4","-2.2199999999999998","-6","3.8","-5.92","-12","2.6","3","-2.8","6.6","5.040000000000001","-4.2","13.8","2.0199999999999996","-3","8.2","1.9","-5.2","10.4","-8.26","-21.4","-1.2"
"85000","4","-2.4","9.8","5.1","-3.4","12.6","-3.7600000000000002","-13.2","1.2","-7.5","-23","5.8","-3.18","-8","0","3.02","0.4","5.8","3.84","-1.8","10.6","1.6800000000000002","-7.6","8.2","0.6000000000000001","-3","3","-9.379999999999999","-31","-2.4"
"90000","1.92","-3","6.8","6.02","2.2","12.4","-5.02","-10.2","3.6","-8.34","-14","1.4","-3.56","-15","3.6","2.3999999999999995","-2.4","6","3.4200000000000004","-2.4","8.6","2.8400000000000003","-4.2","12","1.3599999999999999","-3.2","4.8","-9.32","-18.4","-0.4"
"95000","3.3","-0.6","7","4.26","-2.4","15.2","-4.34","-21.4","6","-4.9399999999999995","-18.8","1","-4.04","-10.4","4.2","2.9","-1.2","8","3.5400000000000005","-2","9.6","3.96","-0.4","9","3.28","-2.4","13","-11.260000000000002","-27.2","0.4"
"100000","3.3400000000000007","-2.8","8.8","5.88","0.2","17.4","-6.6","-14","1.8","-3.1","-7.6","2.6","-4.26","-10","4.4","6.7","-0.2","11.2","4.02","-5.2","9.2","2.7600000000000002","-2.6","9.8","3.18","-5.6","10.4","-7.94","-17","1.6"
"105000","2.46","-0.6","4.8","2.9799999999999995","-1.6","9.2","-6.500000000000002","-19.2","-1","-6.180000000000001","-26","1.6","","","","","","","","","","","","","","","","","",""
"110000","3.66","0.6","7.2","8.24","1.6","14","-3.8599999999999994","-11","0.8","-2.8600000000000003","-11.4","7.2","","","","","","","","","","","","","","","","","",""
"115000","6.9799999999999995","2.4","15.4","4.320000000000001","-1.8","9","-3.6199999999999997","-13.2","2.6","-1.94","-4.4","1","","","","","","","","","","","","","","","","","",""
"120000","3.6399999999999997","0.4","8.4","8.04","2.6","13","-3.6599999999999993","-10.2","3.2","-3.4200000000000004","-12.4","11.6","","","","","","","","","","","","","","","","","",""
"125000","5.24","-1.4","11.4","5.9399999999999995","-2.2","12.4","-5.6","-18","3.6","-1.44","-6","5.4","","","","","","","","","","","","","","","","","",""
"130000","8.08","-3.8","16.8","7.94","-0.4","15.4","-6.140000000000001","-22","2.4","-5.9799999999999995","-18.2","7.2","","","","","","","","","","","","","","","","","",""
"135000","4.38","-2.4","9.4","7.3","2","13.4","-3.7800000000000002","-9.4","0.4","-4.000000000000001","-11.8","2.4","","","","","","","","","","","","","","","","","",""
"140000","5.799999999999999","-1.8","14.8","8.16","1.4","15.4","-1.24","-7.8","6.6","-2.48","-8.8","10","","","","","","","","","","","","","","","","","",""
"145000","9.16","2.2","15.6","6.840000000000001","-2.2","30.8","-4.62","-18","1.4","-4.380000000000001","-10.4","3","","","","","","","","","","","","","","","","","",""
"150000","8.36","2.2","14.4","10.520000000000001","2.4","16.6","-1.02","-10.2","12.4","-1.1","-12.6","8.4","","","","","","","","","","","","","","","","","",""
"155000","8.88","3.4","16.6","9.979999999999999","1.8","19","-3.62","-13","5","0.7199999999999999","-6.6","5.8","","","","","","","","","","","","","","","","","",""
"160000","11.92","7.6","18.2","7.459999999999999","1.4","15.2","-5.24","-13.8","5.8","-2.1","-16.2","7.8","","","","","","","","","","","","","","","","","",""
"165000","10.84","1.8","20.2","12.36","2.6","21.2","-3.919999999999999","-17.2","10.2","-1.32","-8.8","3.8","","","","","","","","","","","","","","","","","",""
"170000","10.540000000000001","6.4","17","11.5","5.4","17.2","-5.119999999999999","-10.8","-1.2","-3.5200000000000005","-21","4.4","","","","","","","","","","","","","","","","","",""
"175000","8.940000000000001","0.2","21.2","9.200000000000001","2.4","12.8","-1.1200000000000003","-7","6.6","-4.540000000000001","-25.4","4","","","","","","","","","","","","","","","","","",""
"180000","10.66","3.4","22.6","14.62","11.4","20.2","-3.62","-13.2","4.2","0.14000000000000004","-9.2","12.2","","","","","","","","","","","","","","","","","",""
"185000","10.500000000000002","4.2","21.6","13.719999999999999","6.6","24.2","-3.6400000000000006","-11.8","4.4","-0.15999999999999986","-14","5","","","","","","","","","","","","","","","","","",""
"190000","13.12","6.8","20.2","11.639999999999999","2.2","20.6","-3.3","-14","5.4","-0.78","-7","6.6","","","","","","","","","","","","","","","","","",""
"195000","12.560000000000002","7","18","11.9","-1.2","20.2","-1.9399999999999995","-16.2","7.4","-2.7599999999999993","-25.4","13","","","","","","","","","","","","","","","","","",""
"200000","11.56","3.8","20.4","15.6","10.6","24.4","-2.26","-12","3.6","0.8400000000000002","-6.4","10","","","","","","","","","","","","","","","","","",""
