"Step","Job Type: RDE+DQN_2agents_4_50_625_True - return","Job Type: RDE+DQN_2agents_4_50_625_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_625_True - return__MAX","Job Type: RDE+DQN_2agents_4_50_1250_True - return","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_2500_True - return","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_5000_True - return","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MAX","Job Type: SR+DQN_1agents_4_50_1250_True - return","Job Type: SR+DQN_1agents_4_50_1250_True - return__MIN","Job Type: SR+DQN_1agents_4_50_1250_True - return__MAX","Job Type: PS+DQN_2agents_4_50_625_True - return","Job Type: PS+DQN_2agents_4_50_625_True - return__MIN","Job Type: PS+DQN_2agents_4_50_625_True - return__MAX","Job Type: SR+DQN_1agents_1_50_5000_True - return","Job Type: SR+DQN_1agents_1_50_5000_True - return__MIN","Job Type: SR+DQN_1agents_1_50_5000_True - return__MAX","Job Type: PS+DQN_2agents_1_50_2500_True - return","Job Type: PS+DQN_2agents_1_50_2500_True - return__MIN","Job Type: PS+DQN_2agents_1_50_2500_True - return__MAX","Job Type: SR+DQN_1agents_4_50_2500_True - return","Job Type: SR+DQN_1agents_4_50_2500_True - return__MIN","Job Type: SR+DQN_1agents_4_50_2500_True - return__MAX","Job Type: PS+DQN_2agents_4_50_1250_True - return","Job Type: PS+DQN_2agents_4_50_1250_True - return__MIN","Job Type: PS+DQN_2agents_4_50_1250_True - return__MAX"
"150000","993.6","592","1696","1319.6","968","2140","395.1111111111111","224","552","468","196","720","","","","","","","","","","","","","","","","","",""
"155000","1127.6","688","2196","1295.2","848","1704","362.6666666666667","168","836","439","220","900","","","","","","","","","","","","","","","","","",""
"160000","1072","332","1628","1707.2","840","2840","289.77777777777777","144","688","425","228","528","","","","","","","","","","","","","","","","","",""
"165000","965.2","728","1472","1597.6","1156","2320","321.3333333333333","76","544","521","64","1072","","","","","","","","","","","","","","","","","",""
"170000","1251.6","704","1884","1414.8","832","2124","338.22222222222223","60","468","443","228","712","","","","","","","","","","","","","","","","","",""
"175000","1014.8","632","1240","1497.2","936","2544","349.3333333333333","160","632","521","324","932","","","","","","","","","","","","","","","","","",""
"180000","1111.2","540","1432","1267.2","756","1736","336.8888888888889","108","752","476.5","272","684","","","","","","","","","","","","","","","","","",""
"185000","1006.8","656","1504","1316.4","896","2040","328.8888888888889","164","548","472","224","656","","","","","","","","","","","","","","","","","",""
"190000","1492.8","588","2528","1586","852","2016","432.44444444444446","268","848","504","260","1212","","","","","","","","","","","","","","","","","",""
"195000","826","640","1144","1250.4","732","2012","342.6666666666667","240","488","531","272","740","","","","","","","","","","","","","","","","","",""
"200000","929.6","604","1220","1405.2","960","1840","321.3333333333333","164","448","469.5","300","712","","","","","","","","","","","","","","","","","",""
