"Step","Job Type: RDE+DQN_2agents_4_50_625_True - return","Job Type: RDE+DQN_2agents_4_50_625_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_625_True - return__MAX","Job Type: RDE+DQN_2agents_4_50_1250_True - return","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_2500_True - return","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_5000_True - return","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MAX","Job Type: SR+DQN_1agents_4_50_1250_True - return","Job Type: SR+DQN_1agents_4_50_1250_True - return__MIN","Job Type: SR+DQN_1agents_4_50_1250_True - return__MAX","Job Type: PS+DQN_2agents_4_50_625_True - return","Job Type: PS+DQN_2agents_4_50_625_True - return__MIN","Job Type: PS+DQN_2agents_4_50_625_True - return__MAX","Job Type: SR+DQN_1agents_1_50_5000_True - return","Job Type: SR+DQN_1agents_1_50_5000_True - return__MIN","Job Type: SR+DQN_1agents_1_50_5000_True - return__MAX","Job Type: PS+DQN_2agents_1_50_2500_True - return","Job Type: PS+DQN_2agents_1_50_2500_True - return__MIN","Job Type: PS+DQN_2agents_1_50_2500_True - return__MAX","Job Type: SR+DQN_1agents_4_50_2500_True - return","Job Type: SR+DQN_1agents_4_50_2500_True - return__MIN","Job Type: SR+DQN_1agents_4_50_2500_True - return__MAX","Job Type: PS+DQN_2agents_4_50_1250_True - return","Job Type: PS+DQN_2agents_4_50_1250_True - return__MIN","Job Type: PS+DQN_2agents_4_50_1250_True - return__MAX"
"145000","239","168","312","259.5","192","316","217.2","64","324","279.55555555555554","216","360","","","","","","","","","","","","","","","","","",""
"150000","230","176","388","246.5","180","344","240.8","96","424","283.55555555555554","200","408","","","","","","","","","","","","","","","","","",""
"155000","228.5","168","288","266.5","212","376","267.2","168","428","245.77777777777777","132","308","","","","","","","","","","","","","","","","","",""
"160000","211.5","172","244","259.5","228","292","208","128","296","320","184","440","","","","","","","","","","","","","","","","","",""
"165000","220","160","284","241.5","156","292","249.2","188","304","257.3333333333333","136","336","","","","","","","","","","","","","","","","","",""
"170000","224.5","188","288","275","212","352","254.8","148","528","268.8888888888889","188","324","","","","","","","","","","","","","","","","","",""
"175000","262","140","360","271.5","200","384","200.4","80","300","267.1111111111111","176","432","","","","","","","","","","","","","","","","","",""
"180000","242","172","308","259","196","328","189.6","148","264","268.8888888888889","188","348","","","","","","","","","","","","","","","","","",""
"185000","242","188","300","271","184","440","260.8","152","424","289.77777777777777","168","456","","","","","","","","","","","","","","","","","",""
"190000","207.42857142857142","144","320","247","200","292","238.4","120","392","248.88888888888889","112","384","","","","","","","","","","","","","","","","","",""
"195000","266","224","312","267.5","184","396","213.6","124","284","267.1111111111111","132","360","","","","","","","","","","","","","","","","","",""
"200000","215.33333333333334","148","268","256","176","336","254","96","340","279.1111111111111","172","500","","","","","","","","","","","","","","","","","",""
