"Step","Job Type: RDE+DQN_2agents_4_50_625_True - return","Job Type: RDE+DQN_2agents_4_50_625_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_625_True - return__MAX","Job Type: RDE+DQN_2agents_4_50_1250_True - return","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_2500_True - return","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_5000_True - return","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MAX","Job Type: SR+DQN_1agents_4_50_1250_True - return","Job Type: SR+DQN_1agents_4_50_1250_True - return__MIN","Job Type: SR+DQN_1agents_4_50_1250_True - return__MAX","Job Type: PS+DQN_2agents_4_50_625_True - return","Job Type: PS+DQN_2agents_4_50_625_True - return__MIN","Job Type: PS+DQN_2agents_4_50_625_True - return__MAX","Job Type: SR+DQN_1agents_1_50_5000_True - return","Job Type: SR+DQN_1agents_1_50_5000_True - return__MIN","Job Type: SR+DQN_1agents_1_50_5000_True - return__MAX","Job Type: PS+DQN_2agents_1_50_2500_True - return","Job Type: PS+DQN_2agents_1_50_2500_True - return__MIN","Job Type: PS+DQN_2agents_1_50_2500_True - return__MAX","Job Type: SR+DQN_1agents_4_50_2500_True - return","Job Type: SR+DQN_1agents_4_50_2500_True - return__MIN","Job Type: SR+DQN_1agents_4_50_2500_True - return__MAX","Job Type: PS+DQN_2agents_4_50_1250_True - return","Job Type: PS+DQN_2agents_4_50_1250_True - return__MIN","Job Type: PS+DQN_2agents_4_50_1250_True - return__MAX"
"90000","178.57999999999998","-520","2940","19.64","-141","100","-135.68","-920","2520","-98.9","-669.4","625.4","-92.27999999999999","-580","100","-177.06","-740","80","104.86000000000001","-566.2","2752","162.62000000000003","-907.8","3020","64.46000000000001","-293.4","798.6","43.839999999999996","-340","100"
"95000","-12.280000000000006","-780","522.4","43.06","-101.2","100","-70.42","-397.6","80","-44.379999999999995","-360","80","-75.58","-391.2","100","-155.36","-609.4","100","409.87999999999994","-800","3020","16.000000000000007","-982","2400","-32.660000000000004","-380.2","100","26.419999999999998","-120","100"
"100000","-30.8","-625","100","52.04","-140","100","-26.019999999999992","-632.2","2688","-114.74000000000001","-426.6","80","62.84000000000001","-980","1621.6","157.14000000000001","-588.6","2860","-118.24000000000001","-933.6","60","-198.73999999999998","-984","80","69.24","-187.6","440","86","80","100"
"105000","39.1","-180","100","-60.839999999999996","-853.4","80","-107.46000000000001","-580","480","-65.1","-236.2","80","","","","","","","","","","","","","","","","","",""
"110000","21.28","-169","100","38.42","-251.2","100","-328.8","-740","640.8","-177.64000000000001","-734.2","100","","","","","","","","","","","","","","","","","",""
"115000","-57.48","-600","100","66","-120","100","-1.9199999999999988","-1000","2629.6","-133.14","-700.6","100","","","","","","","","","","","","","","","","","",""
"120000","310.17999999999995","-120","2763.6","54.58","-80","100","-48.96","-365.4","335.4","-225.34","-1000","80","","","","","","","","","","","","","","","","","",""
"125000","18.279999999999994","-513.2","100","41.480000000000004","-207","100","167.01999999999998","-273.2","2737.6","-247.16000000000003","-679.2","80","","","","","","","","","","","","","","","","","",""
"130000","-17.820000000000004","-352.6","100","68","-120","100","-295.41999999999996","-800","60","74.64000000000001","-798.4","2972.4","","","","","","","","","","","","","","","","","",""
"135000","-128.07999999999998","-605.8","100","-21.9","-559","100","333.9","-580","5540","-19.65999999999999","-596.6","1079.2","","","","","","","","","","","","","","","","","",""
"140000","-0.8199999999999988","-404.4","603.4","60.7","-120","100","-119.08000000000001","-860","2060","-59.540000000000006","-340","100","","","","","","","","","","","","","","","","","",""
"145000","13.219999999999999","-353.8","100","82.62","60","100","-137.00000000000003","-688.2","100","-11.8","-400","100","","","","","","","","","","","","","","","","","",""
"150000","17.240000000000002","-372","100","66.28","-140","100","-251.32","-800","96.8","502.8999999999999","-544.6","5640","","","","","","","","","","","","","","","","","",""
"155000","15.420000000000002","-340","100","-21.379999999999995","-580","100","355.02000000000004","-612","3128.8","802.84","-716.8","5740","","","","","","","","","","","","","","","","","",""
"160000","-31.359999999999996","-386.2","100","50.66","-128.8","100","-176.18","-608.4","80","-24.96","-306.8","100","","","","","","","","","","","","","","","","","",""
"165000","52.06","-120","109.8","-29.059999999999995","-480","106.2","-108.54","-600","100","-103.38","-593.8","100","","","","","","","","","","","","","","","","","",""
"170000","-7.679999999999995","-600","100","94","80","100","172.78","-895.8","3081.2","-16.939999999999998","-421.4","100","","","","","","","","","","","","","","","","","",""
"175000","34.4","-113.4","100","90","40","100","-269.14","-780","80","-166.14000000000001","-540","100","","","","","","","","","","","","","","","","","",""
"180000","-92.74000000000001","-403.6","100","83.72","0","100","-121.46","-780","105.4","-22.04","-540","100","","","","","","","","","","","","","","","","","",""
"185000","-35.44","-567","100","93.44","80","100","-99.97999999999999","-780","80","-172.94","-1000","100","","","","","","","","","","","","","","","","","",""
"190000","49.040000000000006","-120","100","88","60","100","-396.52","-1000","80","177.02000000000004","-688","2920","","","","","","","","","","","","","","","","","",""
"195000","317","-380","2900","18.639999999999997","-420","100","363.7","-755.8","2780","-322.32","-786.4","75.2","","","","","","","","","","","","","","","","","",""
"200000","-50.94","-347.2","80","82.12","-38.8","100","540.5600000000001","-623.2","4008.6","-64.34","-364.2","100","","","","","","","","","","","","","","","","","",""
